Site ID	Location Name	County	Issue Codes	Priority
CO-CHAFFEE-LITTLE-WONDER-MINE	Little Wonder Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-MADONNA-MINE	Madonna Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-MOSS-FLOWER-HALF-MOON	Moss Flower (Half Moon Mine)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-NEW-YORK-MINE	New York Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-OHIO-MORNINGSTAR	Ohio and Morningstar Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-PAYMASTER-MINE	Paymaster Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-PRIDE-OF-THE-WEST	Pride of the West Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-SEDALIA-MINE	Sedalia Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-SHAMROCK-MINE	Shamrock Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-SILENT-FRIEND	Silent Friend Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-SILVER-KING-MINE	Silver King Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-SNOWFLAKE-DEPOSIT	Snowflake Deposit	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-STOCKTON-MINE	Stockton Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-THIRTY-SIX-THIRTY-MINE	Thirty-Six-Thirty Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-TILDEN-MINE	Tilden Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-TOMMY-EVANS-LODE	Tommy Evans Lode (Survey No. 14303)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-WHITE-KING-DEPOSIT	White King Deposit	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHEYENNE-KIT-CARSON-UP-DEPOT	Kit Carson Union Pacific Railroad Depot (Museum)	Cheyenne	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CLEAR-CREEK-ALMADEN-MINE	Almaden Mine	Clear Creek	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CLEAR-CREEK-AP-TUNNEL	AP Tunnel	Clear Creek	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CLEAR-CREEK-APEX-SHAFT	Apex Shaft	Clear Creek	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CLEAR-CREEK-BRIGHTON-MINE	Brighton Mine	Clear Creek	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CLEAR-CREEK-BROWNSVILLE-PROCESSING-PLANT	Brownsville Processing Plant	Clear Creek	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CLEAR-CREEK-BULLION-KING-MINE	Bullion King Mine	Clear Creek	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CONEJOS-COSTILLA-CROSSING-BRIDGE	Costilla Crossing Railroad Bridge	Conejos	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CONEJOS-ANTONITO-DRG-DEPOT	Denver & Rio Grande Railroad Antonito Depot	Conejos	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-COSTILLA-FORT-GARLAND-MILITARY-POST	Fort Garland Military Post & Museum Complex	Costilla	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
